Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,wallet_transaction_volume,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time
2018-10-25,29567762.0,230782191.7884,7182852313938.0,69952.0,15279.81528646,1.03543029927,11207341.4591,48917428.9572864,44.019581613,1.361558342,127063.225023,1010728.0309273,1858.38686131,474714.0,254599.0,17.53993992,17341650.0,8.98333333333333
2018-10-28,29669649.0,141089199.0627,7182852313938.0,52319.0,4246.17045408,0.828287614286,11390873.4359,49988613.5329934,51.8096672243,2.46564292637,71645.1647159,523974.139731546,1570.42857143,403763.0,219860.0,16.5139359,17346887.5,7.79166666666667
2018-10-31,29779040.0,237445610.0415,7182852313938.0,72472.0,12288.87494707,0.91829296319,12962284.6889,58201028.6134137,44.9637498185,1.60417754562,128050.18362,932172.355043596,1768.60736196,510366.0,288283.0,16.65229276,17352675.0,6.88333333333333
2018-11-03,29858742.0,191863094.391,7184404942702.0,61926.0,8380.89417588,0.885550503106,12893634.8829,57499331.7996558,51.6646426684,3.50781981032,57759.2909875,597667.011591455,1550.08695652,453207.0,249564.0,13.59185156,17358400.0,6.0
2018-11-06,29934993.0,161192819.424,7184404942702.0,70196.0,13836.51037997,1.0720384375,10436213.8779,45713754.4742605,36.5604390172,1.38461193358,116941.352944,888083.50817827,2230.0859375,519341.0,285451.0,19.18392815,17363337.5,10.6833333333333
2018-11-09,30133865.0,268942797.627,7184404942702.0,71424.0,14709.882397,1.13519577953,10321706.7216,45356615.7674304,36.3573517119,1.22652981189,131258.853247,857089.235802351,2235.4015748,541363.0,283896.0,22.42896582,17368062.5,10.7
2018-11-12,30327611.0,149652633.413,7184404942702.0,74836.0,18183.88989462,1.06687757143,11326127.0809,49999418.9562224,37.7530018762,1.52272595171,116184.530485,864084.763386748,2142.9,510341.0,300006.0,19.17199757,17371837.5,9.875
2018-11-15,30484071.0,1068777739.766,7184404942702.0,71596.0,30818.19756261,1.19364507087,9131131.58594,45356615.7674304,31.3219503849,0.335555221904,484615.072092,1892836.65725486,2295.47244094,523898.0,291525.0,38.65118054,17377362.5,12.7166666666667
2018-11-18,30622107.0,187745032.4724,6653303141406.0,55022.0,11158.36919294,0.954274699187,8720411.74296,40680711.6496954,36.3648984498,2.43185093071,63965.1652726,580343.13343274,1949.61788618,393875.0,239803.0,18.03746701,17382887.5,10.1666666666667
2018-11-21,30781813.0,1455657697.6194,6653303141406.0,58389.0,16150.85811119,1.21354621905,6176914.17717,34727436.7741302,24.2287036941,0.599775919613,227159.863465,1309378.21656164,2428.01904762,472551.0,254942.0,49.95016009,17387512.5,15.4166666666667
2018-11-24,30932747.0,489895164.5904,6653303141406.0,58176.0,11486.28992606,0.980274237762,7809122.34535,47295461.5114344,31.2343654445,1.88993523621,96229.7512387,905769.291971645,1748.37062937,406860.0,250017.0,31.17997638,17392387.5,8.2
2018-11-27,31043047.0,784661844.5325,6653303141406.0,67269.0,29053.84883013,1.07125403817,6283605.98769,43326611.594391,23.3997534295,0.730798569429,229185.331849,1256470.047218,2049.87022901,462321.0,268533.0,37.38312649,17397000.0,10.2166666666667
2018-11-30,31133195.0,564041239.0394,6653303141406.0,64478.0,20633.8891885,1.20979136634,5352395.99184,33404486.8017824,21.3961471869,0.328777024427,396401.823997,1854914.42273533,2476.8019802,460122.0,250157.0,40.77812171,17401050.0,15.3166666666667
2018-12-03,31206534.0,314509624.5,6194015746026.25,49309.0,19207.95312867,1.10102824561,5777217.66638,35101305.9820655,24.006522557,0.455677463799,319552.043684,1487029.07296055,2110.98245614,426799.0,240652.0,31.12664818,17404962.5,10.1375
2018-12-06,31298604.0,412960592.3912,5646403851535.0,59597.0,25074.47177051,1.09192977037,6422799.8146,37892374.8161739,22.9669513563,0.445033218185,385583.734439,1633213.92741729,2071.51111111,480399.0,279654.0,28.47570217,17410487.5,9.48333333333333
2018-12-09,31375074.0,501085554.5682,5646403851535.0,42638.0,6996.94882197,0.948841625,5705487.75609,35927585.0108908,23.9154615901,2.00261933258,80735.9422766,749837.224049977,1863.8203125,364578.0,238569.0,16.83358837,17415100.0,8.425
2018-12-12,31433112.0,306997665.7128,5646403851535.0,58613.0,17274.10208212,1.1335625,5270463.56845,33682110.9477101,20.1606728117,0.942432149172,161535.002051,1100815.10721768,2178.525,439269.0,261423.0,22.35779149,17419712.5,11.65
2018-12-15,31506165.0,406362868.6126,5646403851535.0,50173.0,14638.20194412,0.941854395973,6066378.70445,41821954.42674,23.0766957591,2.05497294068,91527.8806901,813096.485976747,1764.2885906,397643.0,262879.0,18.37318136,17425037.5,6.46666666666667
2018-12-18,31585141.0,501899316.0194,5621092245587.73,58689.0,23789.99211467,1.07839529688,5802769.46107,35766529.4260719,21.7948485833,0.793182683998,205069.825824,1371198.62085749,2080.0390625,461772.0,266245.0,26.57834854,17430075.0,10.0333333333333
2018-12-21,31663887.0,938950259.6941,5106422924660.0,60983.0,25198.39951253,1.04834628571,7151635.29052,35537832.4598879,25.4880297465,0.876210382642,203257.007271,1281402.42997921,2004.2,492725.0,280588.0,30.95900116,17435375.0,7.75
2018-12-24,31747538.0,363146370.6295,5106422924660.0,56230.0,19676.99749779,0.932735355263,8035501.83939,38583932.3850211,29.5100637884,1.173067856,163930.597972,1102833.45494636,1791.42763158,419724.0,272297.0,23.01715097,17441662.5,6.21666666666667
2018-12-27,31817708.0,332210350.9134,5106422924660.0,53977.0,14820.00075768,0.885621408046,8214950.87774,44168448.9144321,27.3813441695,1.43045598478,153232.019843,1258835.33320189,1724.25287356,434317.0,300020.0,16.91659845,17447787.5,4.6125
2018-12-30,31869983.0,273159528.0084,5106422924660.0,48469.0,12409.01327567,0.762486789773,8485747.74684,44676132.2352876,31.7059462441,3.14284110501,70442.9847417,700163.047612885,1520.67613636,391258.0,267639.0,13.91108006,17453800.0,3.89583333333333
2019-01-02,31955907.0,241928399.1936,5618595848853.0,50735.0,14734.29297428,0.947860662252,7368988.35595,42174589.1025465,27.1221819826,1.50766807919,126389.915254,985716.743373064,1799.31125828,415821.0,271696.0,18.0404076,17459487.5,7.66666666666667
2019-01-05,32124379.0,293647134.8172,5618595848853.0,50060.0,12490.9865494,0.812945822086,7929513.78502,45526212.0775833,29.9010293863,2.47926775273,82676.4706494,762435.096074581,1626.94478528,385488.0,265192.0,12.27107591,17465325.0,4.36666666666667
2019-01-08,32188996.0,314915700.8125,5618595848853.0,60454.0,19466.0861484,0.86793,8610282.07595,47202023.5651017,27.0318157374,1.45931042208,146195.545693,907272.319909191,1884.75739645,465084.0,318524.0,20.94683492,17470962.5,6.5
2019-01-11,32262119.0,465176834.075,5618595848853.0,60044.0,23199.25491447,0.983164702703,6853670.72486,41336683.3587873,22.2253340928,0.629056731794,297947.560347,1202241.87199114,2083.59459459,486649.0,308372.0,24.25918558,17476812.5,7.175
2019-01-14,32350802.0,170721560.2716,5862614531725.31,60436.0,19086.00246271,0.956647966443,6784730.48244,43423390.2168908,20.768417535,1.15355414713,163190.801066,943758.900935683,2192.51677852,455376.0,326685.0,19.99425343,17482112.5,6.56666666666667
2019-01-17,32466144.0,237255849.8063,5883988430955.0,60874.0,18357.93235315,1.0972141811,5831717.37007,37146820.7278501,19.6555970612,1.16154781711,138693.179235,865081.658681416,2336.18110236,462878.0,296695.0,23.48759589,17487012.5,8.7
2019-01-20,32527239.0,205575557.0148,5883988430955.0,45754.0,8483.86738904,0.805785057325,7156712.10523,45921660.2698619,24.3327919584,2.97742344857,66397.0946434,673875.570953252,1873.36305732,379373.0,294118.0,14.42266508,17492362.5,5.26666666666667
2019-01-23,32594221.0,209940367.5135,5883988430955.0,59887.0,20452.61601415,1.02611137671,6683461.5332,42704219.1044576,22.4374361156,1.2401601402,151170.075614,1177961.56777741,2010.23287671,482794.0,293494.0,22.67278096,17497687.5,7.01666666666667
2019-01-26,32688146.0,184223340.8878,5883988430955.0,51449.0,9977.03249888001,0.98073546,6857448.82583,43874197.7100592,23.6080325603,2.34327936574,81859.9519509,956749.612212275,1921.9,444594.0,288285.0,19.8801991,17503262.5,7.2
2019-01-29,32778119.0,219370864.0452,5814661935892.0,63158.0,19186.00972051,1.01022278767,6364552.33446,42201068.245197,19.225989489,1.26598561567,147946.662756,1566152.82464706,2233.98630137,480702.0,326162.0,23.14980149,17508662.5,7.90416666666667
2019-02-01,32872051.0,112849977.6102,5814661935892.0,60041.0,18539.9398741,1.02459243671,6857975.37196,45669649.196857,20.2096869284,1.12240480798,179022.475825,2805591.82526717,2147.7278481,502881.0,339341.0,33.11076701,17514112.5,7.67083333333333
2019-02-04,32965404.0,80969399.1302,5814661935892.0,61728.0,14815.8434056,1.01239853061,6411524.44993,42490116.6578353,19.0460366332,1.81509825667,103575.761172,2100232.57897692,2280.8707483,456122.0,335288.0,17.08811248,17519625.0,6.41666666666667
2019-02-07,33046600.0,143900701.53,5814661935892.0,62359.0,16626.95738889,0.942216902299,7375022.02375,50294423.7990704,20.8896914956,1.55087039153,141362.210575,2624183.11068383,2029.0,474847.0,353046.0,16.74141122,17525337.5,5.73333333333333
2019-02-10,33139376.0,106699453.4838,5894008795042.54,48002.0,9147.68657174,0.899240978571,6454979.70124,41018987.2961362,21.3504215564,2.35631444388,75922.1300809,619329.420175526,2140.06428571,380922.0,299609.0,13.62075475,17530987.5,8.20833333333333
2019-02-13,33209938.0,163866857.0902,6061518831027.0,72175.0,45662.50540887,1.15328562092,6976103.87653,46101919.5246807,19.7818916621,1.02696610408,189712.966286,3759153.89515758,2304.90849673,546276.0,352651.0,35.63755618,17536587.5,9.88333333333333
2019-02-16,33283619.0,120798170.078,6061518831027.0,59079.0,23198.3317589,1.00876002667,6898485.34101,45197960.3183144,20.6254326791,1.89541605238,101428.202921,721058.482953854,2214.24666667,452438.0,332137.0,22.36572171,17541862.5,7.325
2019-02-19,33372940.0,429150386.544,6061518831027.0,68907.0,21528.73111061,1.06047125641,7748245.93828,47005878.731047,22.2496021108,1.07706136188,184200.083713,1780234.10470397,2232.32051282,538532.0,348242.0,36.59295015,17547650.0,8.98333333333333
2019-02-22,33513777.0,196426384.1712,6061518831027.0,71803.0,17747.10002827,1.0851842284,8096363.88186,48813797.1437796,23.1122615138,1.36231468321,151533.527865,1376221.90008537,2162.38271605,542172.0,350306.0,39.01280561,17552712.5,8.675
2019-02-25,33629564.0,400105758.6783,6071846049921.0,66020.0,30523.4749854,1.10952616084,6913971.36597,43162133.913638,20.5385414604,0.876975610791,208068.255865,1518114.00751512,2354.08391608,502106.0,336634.0,38.85345862,17557787.5,8.70833333333333
